Territorio;Periodo;Provenienza;Arrivi Hotel;Arrivi Altro;Arrivi Totali
Belluno;2020-02;Paesi esteri;36482.0;16096.0;52578.0
Belluno;2020-03;Italia;7552.0;3381.0;10933.0
Belluno;2020-03;Mondo;9878.0;4503.0;14381.0
Belluno;2020-03;Paesi esteri;2326.0;1122.0;3448.0
Belluno;2020-04;Italia;411.0;151.0;562.0
Belluno;2020-04;Mondo;436.0;180.0;616.0
Belluno;2020-04;Paesi esteri;25.0;29.0;54.0
Belluno;2020-05;Italia;2566.0;2688.0;5254.0
Belluno;2020-05;Mondo;2747.0;2747.0;5494.0
Belluno;2020-05;Paesi esteri;181.0;59.0;240.0
Belluno;2020-06;Italia;12371.0;13294.0;25665.0
Belluno;2020-06;Mondo;15286.0;15067.0;30353.0
Belluno;2020-06;Paesi esteri;2915.0;1773.0;4688.0
Belluno;2020-07;Italia;49038.0;41402.0;90440.0
Belluno;2020-07;Mondo;62834.0;53519.0;116353.0
Belluno;2020-07;Paesi esteri;13796.0;12117.0;25913.0
Belluno;2020-08;Italia;76050.0;63638.0;139688.0
Belluno;2020-08;Mondo;90467.0;79763.0;170230.0
Belluno;2020-08;Paesi esteri;14417.0;16125.0;30542.0
Belluno;2020-09;Italia;31760.0;19130.0;50890.0
Belluno;2020-09;Mondo;48346.0;30978.0;79324.0
Belluno;2020-09;Paesi esteri;16586.0;11848.0;28434.0
Belluno;2020-10;Italia;11236.0;5211.0;16447.0
Belluno;2020-10;Mondo;14166.0;6468.0;20634.0
Belluno;2020-10;Paesi esteri;2930.0;1257.0;4187.0
Belluno;2020-11;Italia;6876.0;3151.0;10027.0
Belluno;2020-11;Mondo;7626.0;3443.0;11069.0
Belluno;2020-11;Paesi esteri;750.0;292.0;1042.0
Belluno;2020-12;Italia;8322.0;6007.0;14329.0
Belluno;2020-12;Mondo;9170.0;6274.0;15444.0
Belluno;2020-12;Paesi esteri;848.0;267.0;1115.0
Belluno;2021-01;Italia;6152.0;4335.0;10487.0
Belluno;2021-01;Mondo;6666.0;4600.0;11266.0
Belluno;2021-01;Paesi esteri;514.0;265.0;779.0
Belluno;2021-02;Italia;25247.0;16407.0;41654.0
Belluno;2021-02;Mondo;28033.0;16889.0;44922.0
Belluno;2021-02;Paesi esteri;2786.0;482.0;3268.0
Belluno;2021-03;Italia;8749.0;4247.0;12996.0
Belluno;2021-03;Mondo;9486.0;4512.0;13998.0
Belluno;2021-03;Paesi esteri;737.0;265.0;1002.0
Belluno;2021-04;Italia;4207.0;2950.0;7157.0
Belluno;2021-04;Mondo;4572.0;3061.0;7633.0
Belluno;2021-04;Paesi esteri;365.0;111.0;476.0
Belluno;2021-05;Italia;10229.0;5795.0;16024.0
Belluno;2021-05;Mondo;11575.0;6536.0;18111.0
Belluno;2021-05;Paesi esteri;1346.0;741.0;2087.0
Belluno;2021-06;Italia;26359.0;19808.0;46167.0
Belluno;2021-06;Mondo;37619.0;27356.0;64975.0
Belluno;2021-06;Paesi esteri;11260.0;7548.0;18808.0
Belluno;2021-07;Italia;63145.0;49900.0;113045.0
Belluno;2021-07;Mondo;89647.0;74621.0;164268.0
Belluno;2021-07;Paesi esteri;26502.0;24721.0;51223.0
Belluno;2021-08;Italia;78754.0;63309.0;142063.0
Belluno;2021-08;Mondo;103256.0;90930.0;194186.0
Belluno;2021-08;Paesi esteri;24502.0;27621.0;52123.0
Belluno;2021-09;Italia;35735.0;19961.0;55696.0
Belluno;2021-09;Mondo;62178.0;38381.0;100559.0
Belluno;2021-09;Paesi esteri;26443.0;18420.0;44863.0
Belluno;2021-10;Italia;16315.0;8898.0;25213.0
Belluno;2021-10;Mondo;23311.0;12430.0;35741.0
Belluno;2021-10;Paesi esteri;6996.0;3532.0;10528.0
Belluno;2021-11;Italia;8466.0;3664.0;12130.0
Belluno;2021-11;Mondo;10313.0;4382.0;14695.0
Belluno;2021-11;Paesi esteri;1847.0;718.0;2565.0
Belluno;2021-12;Italia;35104.0;13991.0;49095.0
Belluno;2021-12;Mondo;47117.0;16689.0;63806.0
Belluno;2021-12;Paesi esteri;12013.0;2698.0;14711.0
Padova;2008-01;Italia;49174.0;1893.0;51067.0
Padova;2008-01;Paesi esteri;18644.0;569.0;19213.0
Padova;2008-02;Italia;53395.0;2073.0;55468.0
Padova;2008-02;Paesi esteri;21846.0;688.0;22534.0
Padova;2008-03;Italia;59525.0;2551.0;62076.0
Padova;2008-03;Paesi esteri;41699.0;1757.0;43456.0
Padova;2008-04;Italia;64297.0;2920.0;67217.0
Padova;2008-04;Paesi esteri;52410.0;2004.0;54414.0
Padova;2008-05;Italia;69823.0;4213.0;74036.0
Padova;2008-05;Paesi esteri;67659.0;2685.0;70344.0
Padova;2008-06;Italia;54919.0;2478.0;57397.0
Padova;2008-06;Paesi esteri;55274.0;2368.0;57642.0
Padova;2008-07;Italia;45164.0;2115.0;47279.0
Padova;2008-07;Paesi esteri;61300.0;4288.0;65588.0
